Algorithm,Iteration,TotalConstraintViolations
AntColonyAlg,0,9
AntColonyAlg,1,8
AntColonyAlg,2,8
AntColonyAlg,3,8
AntColonyAlg,4,8
AntColonyAlg,5,8
AntColonyAlg,6,8
AntColonyAlg,7,8
AntColonyAlg,8,8
AntColonyAlg,9,8
AntColonyAlg,10,8
AntColonyAlg,11,8
AntColonyAlg,12,8
AntColonyAlg,13,8
AntColonyAlg,14,8
AntColonyAlg,15,8
AntColonyAlg,16,8
AntColonyAlg,17,8
AntColonyAlg,18,8
AntColonyAlg,19,8
AntColonyAlg,20,8
AntColonyAlg,21,8
AntColonyAlg,22,8
AntColonyAlg,23,8
AntColonyAlg,24,8
AntColonyAlg,25,8
AntColonyAlg,26,8
AntColonyAlg,27,8
AntColonyAlg,28,8
AntColonyAlg,29,8
AntColonyAlg,30,8
AntColonyAlg,31,8
AntColonyAlg,32,8
AntColonyAlg,33,8
AntColonyAlg,34,8
AntColonyAlg,35,8
AntColonyAlg,36,8
AntColonyAlg,37,8
AntColonyAlg,38,8
AntColonyAlg,39,8
AntColonyAlg,40,8
AntColonyAlg,41,8
AntColonyAlg,42,8
AntColonyAlg,43,8
AntColonyAlg,44,8
AntColonyAlg,45,8
AntColonyAlg,46,8
AntColonyAlg,47,8
AntColonyAlg,48,8
AntColonyAlg,49,8
AntColonyAlg,50,8
AntColonyAlg,51,8
AntColonyAlg,52,8
AntColonyAlg,53,8
AntColonyAlg,54,8
AntColonyAlg,55,8
AntColonyAlg,56,8
AntColonyAlg,57,8
AntColonyAlg,58,8
AntColonyAlg,59,8
AntColonyAlg,60,8
AntColonyAlg,61,8
AntColonyAlg,62,8
AntColonyAlg,63,8
AntColonyAlg,64,8
AntColonyAlg,65,8
AntColonyAlg,66,8
AntColonyAlg,67,8
AntColonyAlg,68,8
AntColonyAlg,69,8
AntColonyAlg,70,8
AntColonyAlg,71,8
AntColonyAlg,72,8
AntColonyAlg,73,8
AntColonyAlg,74,8
AntColonyAlg,75,8
AntColonyAlg,76,8
AntColonyAlg,77,8
AntColonyAlg,78,8
AntColonyAlg,79,8
AntColonyAlg,80,8
AntColonyAlg,81,8
AntColonyAlg,82,8
AntColonyAlg,83,8
AntColonyAlg,84,8
AntColonyAlg,85,8
AntColonyAlg,86,8
AntColonyAlg,87,8
AntColonyAlg,88,8
AntColonyAlg,89,8
AntColonyAlg,90,8
AntColonyAlg,91,8
AntColonyAlg,92,8
AntColonyAlg,93,8
AntColonyAlg,94,8
AntColonyAlg,95,8
AntColonyAlg,96,8
AntColonyAlg,97,8
AntColonyAlg,98,8
AntColonyAlg,99,8
