Algorithm,Iterations,TotalTimeMs,AvgIterationTimeMs,UsedMemoryMb,AvgUsedMemoryPerIteration
AntColonyAlg,44,0.44,806.97,8.07
GeneticAlg,85,0.85,1378.13,13.78
ParticleSwarmAlg,47,0.47,2245.45,22.45
AntColonyAlg,13,0.13,519.04,5.19
GeneticAlg,53,0.53,1912.04,19.12
ParticleSwarmAlg,25,0.25,3561.56,35.62
AntColonyAlg,13,0.13,4243.04,42.43
GeneticAlg,52,0.52,4006.38,40.06
ParticleSwarmAlg,32,0.32,1302.65,13.03
AntColonyAlg,15,0.15,1952.15,19.52
GeneticAlg,61,0.61,3420.03,34.20
ParticleSwarmAlg,25,0.25,5111.15,51.11
AntColonyAlg,13,0.13,5761.15,57.61
GeneticAlg,53,0.53,3380.13,33.80
ParticleSwarmAlg,22,0.22,1923.48,19.23
AntColonyAlg,13,0.13,2574.48,25.74
GeneticAlg,49,0.49,3950.98,39.51
ParticleSwarmAlg,22,0.22,5567.48,55.67
AntColonyAlg,13,0.13,6217.98,62.18
GeneticAlg,49,0.49,4056.23,40.56
ParticleSwarmAlg,22,0.22,1840.54,18.41
AntColonyAlg,13,0.13,2489.54,24.90
GeneticAlg,50,0.50,3943.04,39.43
ParticleSwarmAlg,21,0.21,5652.54,56.53
AntColonyAlg,14,0.14,6300.04,63.00
GeneticAlg,51,0.51,4062.94,40.63
ParticleSwarmAlg,21,0.21,1763.79,17.64
AntColonyAlg,12,0.12,2409.79,24.10
GeneticAlg,47,0.47,3896.29,38.96
ParticleSwarmAlg,34,0.34,5649.79,56.50
